,horizon,mse,rmse,mae,mape,coverage
846,301 days 00:00:00.000000000,275.3991233665708,16.595153610815743,14.666051510899447,0.36989281159303367,0.16517857142857142
2131,301 days 00:00:00.000000000,275.80718800608923,16.607443752910598,14.682242991949765,0.3701179540339502,0.16517857142857142
2132,302 days 00:00:00.000000000,274.1469788960202,16.55738442194359,14.639559961398131,0.3688472062176026,0.16517857142857142
207,302 days 00:00:00.000000000,275.05918841764134,16.584908453700955,14.689750326840763,0.37026705634778423,0.16071428571428573
530,302 days 00:00:00.000000000,275.79995240080217,16.607225909248125,14.733238903942127,0.37126050942393746,0.15625
1488,302 days 00:00:00.000000000,275.2398834160991,16.59035513230802,14.720848353112583,0.3714039246213205,0.15625
1809,302 days 00:00:00.000000000,275.61192444346864,16.601563915591466,14.747228777356124,0.37199692431772063,0.15178571428571427
208,303 days 00:00:00.000000000,274.76127368889786,16.57592451988419,14.722916394727203,0.37131330208457997,0.15178571428571427
1489,303 days 00:00:00.000000000,276.018108870993,16.613792729867342,14.766593051745645,0.3724095259718343,0.15178571428571427
1810,303 days 00:00:00.000000000,274.6781574524001,16.573417192975025,14.722984100483432,0.37092988537909044,0.15178571428571427
2133,303 days 00:00:00.000000000,272.9828622198702,16.522193020899802,14.681800014876972,0.36959423029105487,0.15178571428571427
1811,304 days 00:00:00.000000000,273.43095428790406,16.535747769239347,14.712018094646519,0.37025502196635657,0.14732142857142858
1168,304 days 00:00:00.000000000,277.47221900666926,16.657497381259564,14.803026574478752,0.3724686934613519,0.14732142857142858
2134,304 days 00:00:00.000000000,278.6754741697801,16.693575835325998,14.850109388454607,0.3729373361198028,0.14732142857142858
847,304 days 00:00:00.000000000,279.4831897291876,16.71775073773944,14.89359445523095,0.37408467136614554,0.14285714285714285
1490,304 days 00:00:00.000000000,280.6070694593417,16.751330378789074,14.928835980049241,0.374859220972387,0.14285714285714285
1491,305 days 00:00:00.000000000,282.0864707051666,16.795430054189342,14.982042863637364,0.37620332630017117,0.14285714285714285
848,305 days 00:00:00.000000000,282.566661984188,16.80971927142711,15.000906223954749,0.3768765192943209,0.14285714285714285
1169,305 days 00:00:00.000000000,286.9595208709729,16.9398796002502,15.123573877571532,0.3800585497323813,0.13839285714285715
1812,305 days 00:00:00.000000000,287.08249727212245,16.943509001152105,15.129171088287851,0.3801886551759406,0.13839285714285715
531,305 days 00:00:00.000000000,287.1881676750319,16.94662702944252,15.133516975854336,0.37997627495565894,0.13839285714285715
1492,306 days 00:00:00.000000000,288.5806757713136,16.98766245753999,15.183561205413282,0.3812205731551797,0.13839285714285715
